system:index,NDVI,mean_pressure,mean_temp,mean_wind,total_precip,year,.geo
0,0.5307944368560553,95702.28673780255,282.16107970430056,0.8012538009945958,0.9821827419822662,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5567509474514101,95656.75172171318,282.1514582980921,0.8504412574955719,1.429436244476885,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5343968884301062,95744.48662475563,282.20250333930596,0.4718752006113843,1.704062876632552,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5648853816957321,95709.64282391832,283.13318838595075,0.9516139483290008,1.3496237436041199,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.5492270207033141,95657.73532873584,281.95144470495,1.1474061152230612,1.2475158434472355,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5352083843058396,95712.6063740597,282.75797160602895,0.7489898721975644,1.349150133530026,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5475481900283145,95665.19085932993,283.04067190726033,0.8073149496756316,1.311848829615485,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5577941117660132,95698.49321984689,282.60961982203804,0.7585687669943865,1.0010977200534719,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5694328437448855,95641.28568957772,282.662889880708,0.8715626336632425,1.2130891180035817,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5373204036111365,95690.52259508902,282.0684958590117,0.9445330345643042,1.2441638331181866,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5383542958638556,95724.55300473604,281.6699459345876,0.821149298281232,1.6556131116091242,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5630434486104275,95660.8460413467,281.6114172195431,0.7919506856104318,1.3986304848045263,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5520380589106404,95656.46513548442,282.16096146701926,1.0959481780053315,1.1933147022875619,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.5758953296362473,95741.53963849571,282.79988394138763,0.6573190602057664,0.9892449248951258,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.5885956256972797,95728.10907767987,283.31091974026157,0.7339663944913761,0.8429870344301692,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5936861926663151,95732.75689902589,283.4182003732343,0.8218096573830701,1.0893573845783604,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6018739858662269,95717.86225341533,282.81541945189383,1.0527537555944613,0.9872989248449977,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6069659296541892,95769.51198188479,282.65216365877814,0.8306277307660386,1.2796113422117799,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6226020315077112,95732.8678288688,283.6560395614391,0.8367560169726375,1.0044914897391204,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6155954930888805,95894.13672582128,283.2127117914302,0.956360142111164,1.4826151298122734,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.620459589819803,95904.43951417804,283.3520479934806,0.7404119613041571,1.263598317350409,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.6282325712101171,95881.10618543591,283.0585744338669,0.9690646567352258,1.422071707700744,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.38170330283801246,95867.20942858476,283.74727958799866,0.8962091463618227,1.5388405633093765,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
